title,textDisplay,parentId,authorChannelId,authorDisplayName,likeCount,publishedAt
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],ITZY's lyrics even in english is understandable. Most kpop songs that are translated in english doesn't mean anything. No offense tho. Just my opinion,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCd07FYY-RhbEuPJO822Ym_Q,n e i g h b o r n e x t d o o r,1126,2021-01-22T12:47:55Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Itzy 🤝 Gidle,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCYukAd5XuAf_GUWroUDjZwg,Evelyn Vas,100,2021-01-22T22:23:48Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Check out Loona’s Star if you haven’t. It’s one of the best eng versions I’ve heard in kpop.,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCWKXJ2q1N-yE_DNIaKIXOPw,Jinkookie,73,2021-01-23T10:28:10Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],SKZ’s Levanter English ver. is great! Check it out if you want ☺️🖤,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCO0hEmMYGCqrrKokvrLtu8Q,Sara S,47,2021-01-23T15:28:33Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Ikr! I want Blackpink to make english versions. I mean they have like 3 or 4 songs that are fully in english. We only get raps in english in Japanese versions. Wish they&#39;ll make one for how you like that or lovesick girls,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCR3eR7DY8QUQAB2-NdocuvQ,Gopika K,54,2021-01-24T06:46:16Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Agree!!..like they even change the meaning of it when they are translated in eng,Ugz0CFevqaZC5pfE1Dl4AaABAg,UCYAP_A7ZknmFhjJSqlNJD6A,Harsh Sharma,3,2021-01-24T13:02:54Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],Skz makes good English versions in my opinion. And loona&#39;s star is hella good too,Ugz0CFevqaZC5pfE1Dl4AaABAg,UC0w76sx8ggZHb-HgoIhpRJw,Ayanna,20,2021-01-24T18:47:49Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],"@Gopika K Bish, I&#39;m a star but no patrick😂😂😂😂😂basically the best lyrics in my whole life😂😂",Ugz0CFevqaZC5pfE1Dl4AaABAg,UC2YrUEDJY4ZUcBkDZaIr_VQ,Aditi,23,2021-01-25T07:44:20Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Aditi that line is smart af,Ugz0CFevqaZC5pfE1Dl4AaABAg,UC4RQErWupgzGvAltb8lbh8A,Miss Pooja,9,2021-01-25T07:45:15Z
ITZY - 'NOT SHY' [ENGLISH VERSION] Lyrics [Color Coded_Eng],@Miss Pooja I love it maaaaan😂😂😂😂😂,Ugz0CFevqaZC5pfE1Dl4AaABAg,UC2YrUEDJY4ZUcBkDZaIr_VQ,Aditi,3,2021-01-25T07:47:48Z
