title,textDisplay,parentId,authorChannelId,authorDisplayName,likeCount,publishedAt
ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],This is probably got to be the best English version of all their songs. The lyrics are on point and still pretty similar to the Korean translation.,UgwjJcSgls9ueQ61vTR4AaABAg,UCycw9ynPQ9Bvy2mvYnfHMxA,Rocky Pura,4792,2021-09-24T15:37:35Z
ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],"i lowkey feel like the korean translation isnt accurate and they just made it these lyrics, cuz if you look at them side to side they are actually the same. which i love",UgwjJcSgls9ueQ61vTR4AaABAg,UChHUaUbAmH6gExy9SYSM8VQ,Lianna Soriano,75,2021-09-25T06:27:36Z
ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],The korean trans in the mv is the english version,UgwjJcSgls9ueQ61vTR4AaABAg,UCZX_p1lw-3XA6EKreZYWOPA,ateez's new rapline,58,2021-09-25T09:59:55Z
ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],"Maybe the demo or the original lyrics is written in english. Then the writers translated into korean in creative way. Just like on MITM, it is originally english so the english version lyrics is really good.",UgwjJcSgls9ueQ61vTR4AaABAg,UCTdHDpTUtVoULByoLRtNznQ,Carlugee Abayon,51,2021-09-26T10:43:38Z
ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],კკკ,UgwjJcSgls9ueQ61vTR4AaABAg,UCh1WaLT5BD99oVjRpv4mwDw,nini's games,0,2021-12-30T02:14:42Z
ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],@Lianna Soriano ჰჰბბ,UgwjJcSgls9ueQ61vTR4AaABAg,UCh1WaLT5BD99oVjRpv4mwDw,nini's games,0,2021-12-30T02:14:48Z
ITZY - 'LOCO' (English Ver.) Lyrics [Color Coded_Eng],Yea I ugree,UgwjJcSgls9ueQ61vTR4AaABAg,UC3W_IqPSNvp6k82YoqIXPMw,Madonna Wilkinson,1,2023-03-01T18:37:53Z
